# V	dV	K	dK	T	dT	P	dP	D	dD
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.17682e-19	7.92067e-20	7.21466e-19	4.67993e-20	322.565	20.9238	9.34484e+07	7.34175e+06	1.13275e-08	1.94513e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.27005e-19	7.67415e-20	7.69009e-19	4.82139e-20	343.822	21.5563	9.91186e+07	8.17784e+06	1.35641e-08	1.77746e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.03934e-19	7.73347e-20	7.60879e-19	5.00775e-20	340.187	22.3895	9.81171e+07	8.1349e+06	1.28543e-08	2.00808e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.28214e-19	7.85614e-20	7.5627e-19	5.67398e-20	338.126	25.3682	9.73832e+07	8.31179e+06	1.31053e-08	1.92446e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.05147e-19	7.3413e-20	7.21001e-19	4.1471e-20	322.357	18.5415	9.25253e+07	7.14676e+06	1.32116e-08	1.77264e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.1757e-19	7.54047e-20	7.74714e-19	4.69651e-20	346.372	20.998	9.95884e+07	7.36147e+06	1.16256e-08	1.80509e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.30994e-19	7.29521e-20	7.64074e-19	5.82875e-20	341.615	26.0602	9.80461e+07	9.23689e+06	1.24649e-08	1.66461e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.14953e-19	6.74053e-20	8.13252e-19	4.61097e-20	363.603	20.6155	1.04505e+08	7.57709e+06	1.24393e-08	1.23512e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.35099e-19	6.75224e-20	7.48046e-19	4.54483e-20	334.449	20.3198	9.57789e+07	7.30336e+06	1.37515e-08	2.30539e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.47725e-19	6.38455e-20	7.54282e-19	4.818e-20	337.237	21.5411	9.6831e+07	8.33123e+06	1.27452e-08	1.82301e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.1757e-19	7.23992e-20	7.74147e-19	4.65157e-20	346.119	20.7971	9.94979e+07	7.65172e+06	1.21816e-08	1.61305e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.12828e-19	8.0634e-20	7.49919e-19	4.99592e-20	335.286	22.3366	9.69179e+07	8.13451e+06	1.29681e-08	1.78466e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.23857e-19	7.18513e-20	7.44582e-19	3.83862e-20	332.901	17.1624	9.53152e+07	7.10623e+06	1.34879e-08	1.88406e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.1518e-19	7.4065e-20	7.71463e-19	4.66166e-20	344.919	20.8422	9.82912e+07	7.49468e+06	1.36469e-08	2.17338e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.19554e-19	7.60443e-20	7.65394e-19	4.48406e-20	342.206	20.0481	9.78212e+07	8.11461e+06	1.24126e-08	1.49397e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.03972e-19	7.69467e-20	7.74202e-19	4.99015e-20	346.143	22.3108	9.96867e+07	7.80818e+06	1.2112e-08	1.84252e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.08874e-19	7.03292e-20	7.55463e-19	4.19981e-20	337.765	18.7772	9.72395e+07	6.7618e+06	1.23071e-08	1.57775e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.24553e-19	7.01548e-20	7.65908e-19	4.48138e-20	342.435	20.0361	9.77566e+07	7.42022e+06	1.26825e-08	2.07525e-09
